iter	Passed	Remaining
146	226	1314
147	227	1307
148	227	1301
149	228	1294
150	228	1287
151	229	1280
152	230	1274
153	230	1268
154	231	1262
155	232	1256
156	232	1250
157	233	1244
158	234	1238
159	234	1232
160	235	1226
161	235	1220
162	236	1214
163	236	1207
164	237	1202
165	238	1196
166	238	1191
167	239	1186
168	240	1180
169	240	1175
170	241	1170
171	241	1164
172	242	1159
173	243	1154
174	243	1149
175	244	1144
176	245	1139
177	245	1134
178	246	1129
179	246	1125
180	247	1120
181	248	1115
182	248	1110
183	249	1105
184	249	1101
185	250	1096
186	251	1092
187	251	1088
188	252	1083
189	253	1079
190	253	1075
191	254	1070
192	254	1065
193	255	1061
194	256	1057
195	256	1053
196	257	1049
197	258	1045
198	258	1041
199	259	1037
200	260	1033
201	260	1029
202	261	1025
203	261	1021
204	262	1017
205	263	1013
206	263	1010
207	264	1006
208	264	1002
209	265	999
210	266	995
211	266	991
212	267	987
213	267	984
214	268	980
215	269	976
216	269	973
217	270	969
218	271	966
219	271	963
220	272	959
221	272	956
222	273	952
223	274	949
224	274	945
225	275	942
226	275	939
227	276	936
228	277	933
229	277	929
230	278	926
231	278	923
232	279	920
233	280	916
234	280	913
235	281	910
236	281	907
237	282	904
238	283	901
239	283	898
240	284	895
241	285	892
242	285	889
243	286	886
244	286	884
245	287	881
246	288	878
247	289	876
248	289	873
249	290	870
250	290	868
251	291	865
252	292	862
253	292	860
254	293	857
255	294	855
256	295	852
257	295	850
258	296	847
259	296	844
260	297	841
261	297	839
262	298	836
263	299	833
264	299	831
265	300	828
266	300	826
267	301	823
268	302	820
269	302	818
270	303	815
271	303	813
272	304	810
273	305	808
274	305	805
275	306	803
276	306	800
277	307	798
278	307	795
279	308	793
280	309	790
281	309	788
282	310	786
283	310	783
284	311	781
285	311	778
286	312	776
287	313	774
288	313	771
289	314	769
290	314	767
291	315	765
292	316	762
293	316	760
294	317	758
295	317	755
296	318	753
297	319	751
298	319	749
299	320	747
300	321	745
301	321	743
302	322	741
303	322	739
304	323	737
305	324	735
306	324	732
307	325	730
308	325	728
309	326	726
310	327	724
311	327	722
312	328	720
313	328	718
314	329	716
315	329	714
316	330	712
317	331	710
318	331	708
319	332	705
320	332	703
321	333	701
322	333	699
323	334	697
324	335	695
325	335	693
326	336	691
327	336	689
328	337	687
329	337	685
330	338	683
331	338	682
332	339	680
333	340	678
334	340	676
335	341	674
336	341	672
337	342	670
338	343	668
339	343	666
340	344	665
341	344	663
342	345	661
343	345	659
344	346	657
345	347	656
346	347	654
347	348	652
348	348	650
349	349	649
350	350	647
351	350	645
352	351	643
353	351	642
354	352	640
355	353	638
356	353	636
357	354	635
358	354	633
359	355	631
360	355	629
361	356	628
362	357	626
363	357	624
364	358	623
365	358	621
366	359	619
367	360	618
368	360	616
369	361	614
370	361	613
371	362	611
372	362	610
373	363	608
374	364	606
375	364	605
376	365	603
377	365	601
378	366	600
379	366	598
380	367	597
381	368	595
382	368	593
383	369	592
384	369	590
385	370	589
386	370	587
387	371	586
388	372	584
389	373	583
390	373	582
391	374	580
392	375	579
393	375	577
394	376	576
395	376	574
396	377	573
397	377	571
398	378	570
399	379	568
400	379	567
401	380	565
402	380	564
403	381	562
404	381	561
405	382	559
406	383	558
407	383	556
408	384	555
409	384	553
410	385	552
411	386	550
412	386	549
413	387	548
414	387	546
415	388	545
416	389	543
417	389	542
418	390	541
419	390	539
420	391	538
421	391	536
422	392	535
423	393	534
424	393	532
425	394	531
426	394	529
427	395	528
428	396	527
429	396	525
430	397	524
431	397	523
432	398	521
433	399	520
434	399	519
435	400	517
436	400	516
437	401	515
438	402	513
439	402	512
440	403	511
441	403	509
442	404	508
443	404	507
444	405	505
445	406	504
446	406	503
447	407	501
448	407	500
449	408	499
450	408	497
451	409	496
452	410	495
453	410	493
454	411	492
455	411	491
456	412	490
457	413	489
458	413	487
459	414	486
460	415	485
461	415	484
462	416	482
463	416	481
464	417	480
465	418	479
466	418	477
467	419	476
468	419	475
469	420	474
470	421	472
471	421	471
472	422	470
473	422	469
474	423	467
475	423	466
476	424	465
477	424	464
478	425	462
479	426	461
480	426	460
481	427	459
482	427	458
483	428	456
484	429	455
485	429	454
486	430	453
487	430	452
488	431	450
489	432	449
490	432	448
491	433	447
492	433	446
493	434	444
494	435	443
495	435	442
