iter	RMSE
311	4.325008741
312	4.322480665
313	4.318122092
314	4.317413251
315	4.315042164
316	4.310022173
317	4.307954467
318	4.303898189
319	4.301385992
320	4.297757638
321	4.295440495
322	4.292184947
323	4.288954904
324	4.287059535
325	4.279712806
326	4.276331846
327	4.272160445
328	4.271580158
329	4.268200903
330	4.267174185
331	4.264581929
332	4.257848497
333	4.251681043
334	4.250572664
335	4.247422474
336	4.24442453
337	4.239030069
338	4.236201136
339	4.233630508
340	4.228095171
341	4.222767823
342	4.22224419
343	4.216042403
344	4.215155974
345	4.213610819
346	4.208746395
347	4.206417687
348	4.201346647
349	4.198040679
350	4.193129413
351	4.191091234
352	4.186672844
353	4.184067814
354	4.179967269
355	4.173735089
356	4.169188274
357	4.16451126
358	4.159608599
359	4.155881243
360	4.154560598
361	4.14886011
362	4.145050095
363	4.139158805
364	4.136872133
365	4.136186334
366	4.131412595
367	4.12712548
368	4.125517585
369	4.121161581
370	4.118989945
371	4.115903168
372	4.113608791
373	4.109353456
374	4.107408627
375	4.103166949
376	4.100006033
377	4.099115137
378	4.097292871
379	4.093249432
380	4.089727051
381	4.087009394
382	4.08503685
383	4.083097349
384	4.080288121
385	4.075138648
386	4.074045171
387	4.073587684
388	4.069891069
389	4.068818279
390	4.06399355
391	4.063136806
392	4.058870931
393	4.057522503
394	4.056617795
395	4.0509746
396	4.048795845
397	4.047309402
398	4.043114553
399	4.042694147
400	4.041631497
401	4.041037904
402	4.039278824
403	4.034314195
404	4.029066695
405	4.024731176
406	4.021549073
407	4.020418225
408	4.017657269
409	4.016503344
410	4.015883864
411	4.012472126
412	4.009487078
413	4.007530358
414	4.004564612
415	3.99958299
416	3.993798308
417	3.992886662
418	3.988872429
419	3.988357043
420	3.982653555
421	3.979534769
422	3.974900385
423	3.973108246
424	3.969503355
425	3.968603942
426	3.96662479
427	3.962871347
428	3.959459676
429	3.958732087
430	3.954887406
431	3.953107156
432	3.946471866
433	3.943328809
434	3.940503053
435	3.939731598
436	3.93704198
437	3.936615423
438	3.93629981
439	3.932463103
440	3.928959264
441	3.925981171
442	3.922704282
443	3.91819185
444	3.913163548
445	3.912573957
446	3.910430509
447	3.910044109
448	3.908422552
449	3.905117522
450	3.902340112
451	3.898897261
452	3.897608364
453	3.897192246
454	3.89425011
455	3.890422502
456	3.888404515
457	3.884865628
458	3.883559211
459	3.881569276
460	3.880923797
461	3.878334041
462	3.874753352
463	3.871123691
464	3.868666316
465	3.866078561
466	3.862037617
467	3.861279879
468	3.857136876
469	3.855150867
470	3.85054283
471	3.848398047
472	3.84666267
473	3.844867937
474	3.841886786
475	3.841366467
476	3.837871964
477	3.834544818
478	3.829274759
479	3.825760051
480	3.822121589
481	3.819453648
482	3.817320499
483	3.813424032
484	3.807744522
485	3.806094529
486	3.801668485
487	3.798229406
488	3.796542685
489	3.792333293
490	3.789653051
491	3.787802029
492	3.785238073
493	3.781577378
494	3.778852008
495	3.77731268
496	3.772496293
497	3.769730898
498	3.768936957
499	3.766379509
500	3.763748074
501	3.761289913
502	3.758918708
503	3.756169257
504	3.753423435
505	3.752716883
506	3.748586505
507	3.746859628
508	3.743608725
509	3.739872057
510	3.737241766
511	3.735302517
512	3.733607209
513	3.730765229
514	3.72781112
515	3.726138968
516	3.723866358
517	3.722921348
518	3.721811149
519	3.721647959
520	3.719837526
521	3.717480071
522	3.712976283
523	3.710049558
524	3.705264533
525	3.702164092
526	3.700537481
527	3.698674355
528	3.697933555
529	3.696305919
530	3.694494781
531	3.694163851
532	3.690513583
533	3.688691612
534	3.684613121
535	3.678910768
536	3.675106427
537	3.674541931
538	3.67166163
539	3.671404372
540	3.669983594
541	3.667138544
542	3.663687926
543	3.663087493
544	3.659936172
545	3.65712379
546	3.654807529
547	3.654496967
548	3.654235784
549	3.65207462
550	3.649805334
551	3.646839291
552	3.643844604
553	3.643398517
554	3.639329014
555	3.638513922
556	3.636706533
557	3.635301711
558	3.634714495
559	3.630874685
560	3.629968946
561	3.629818739
562	3.625881038
563	3.623441246
564	3.622058572
565	3.619333022
566	3.619112512
567	3.618463746
568	3.61714141
569	3.614659489
570	3.612212797
571	3.608348354
572	3.605577332
573	3.603947747
574	3.602697051
575	3.597841667
576	3.59614402
577	3.594711453
578	3.593606825
579	3.588862807
580	3.584633557
581	3.582872226
582	3.579737474
583	3.578335756
584	3.577014093
585	3.573201117
586	3.571920102
587	3.56805184
588	3.564527777
589	3.563543167
590	3.561218919
591	3.558618597
592	3.553917208
593	3.551602586
594	3.547826669
595	3.544703069
596	3.544265069
597	3.543501351
598	3.541759013
599	3.540039534
600	3.536732266
601	3.531866321
602	3.530344706
603	3.527521035
604	3.525854424
605	3.523921096
606	3.522469101
607	3.520432884
608	3.519263911
609	3.51649329
610	3.514723565
611	3.512731401
612	3.511255113
613	3.507807344
614	3.505815838
615	3.504659673
616	3.504292043
617	3.504177958
618	3.502826616
619	3.500957288
620	3.498139029
621	3.495823439
622	3.495536644
623	3.491812034
624	3.489810452
625	3.489619907
626	3.48745415
627	3.484468236
628	3.482396805
629	3.482121886
630	3.479856501
631	3.476970868
632	3.474807144
633	3.473174024
634	3.47091533
635	3.467450883
636	3.465414306
637	3.462507054
638	3.458909392
639	3.456878941
640	3.454331296
641	3.453843906
642	3.451264298
643	3.450064391
644	3.449818399
645	3.448270215
646	3.446581333
647	3.444210281
648	3.4423222
649	3.441227182
650	3.439027531
651	3.435692718
652	3.433125858
653	3.431687446
654	3.428299018
655	3.425883362
656	3.425645061
657	3.423708582
658	3.422065025
659	3.419452189
660	3.417313846
661	3.417006974
662	3.414329431
663	3.411054849
664	3.408819647
665	3.408725781
666	3.405609526
667	3.40282475
668	3.399426668
669	3.397549081
670	3.390999331
671	3.390467105
672	3.388943171
673	3.387436314
674	3.384436579
675	3.382633775
676	3.381283634
677	3.378850983
678	3.377318973
679	3.375327439
680	3.372745823
681	3.369749136
682	3.369408596
683	3.368065211
684	3.365155399
685	3.364043747
686	3.363671359
687	3.361445691
688	3.360950722
689	3.358575291
690	3.357413487
691	3.355743234
692	3.35449805
693	3.353097654
694	3.352939153
695	3.352615777
696	3.350398853
697	3.348291252
698	3.347340695
699	3.34558465
700	3.344508899
701	3.34125471
702	3.340245806
703	3.339749561
704	3.338762314
705	3.338323174
706	3.336440302
707	3.333782545
708	3.330553563
709	3.328603141
710	3.326395514
711	3.326018143
712	3.325960892
713	3.32422955
714	3.322652823
715	3.320892441
716	3.318198197
717	3.316426366
718	3.314995242
719	3.313365951
720	3.312282999
721	3.310276174
722	3.309884464
723	3.307218611
724	3.305666976
725	3.304833219
726	3.303649558
727	3.301514826
728	3.29830734
729	3.295963123
730	3.293860405
731	3.293234572
732	3.291558223
733	3.291186724
734	3.290214264
735	3.288885973
736	3.286461212
737	3.2839271
738	3.283107851
739	3.280526841
740	3.277534061
741	3.275920526
742	3.275614023
743	3.27529865
744	3.274359571
745	3.272147533
746	3.270981875
747	3.269459991
748	3.267773443
749	3.265402199
750	3.264533734
751	3.264304959
752	3.262023791
753	3.260355506
754	3.259578504
755	3.257855507
756	3.253274854
757	3.252895224
758	3.25200578
759	3.250291828
760	3.246368822
761	3.24456264
762	3.24386243
763	3.242284083
764	3.238990719
765	3.238285709
766	3.23825435
767	3.236320224
768	3.234986283
769	3.23333001
770	3.230964656
771	3.230024269
772	3.228402322
773	3.227257717
774	3.22421025
775	3.22129633
776	3.218286498
777	3.217292825
778	3.214575428
779	3.21444084
780	3.213996687
781	3.211302646
782	3.209664538
783	3.20750783
784	3.206592523
785	3.204157839
786	3.203626642
787	3.202318929
788	3.199428148
789	3.198721921
790	3.197262336
791	3.19455459
792	3.192998573
793	3.19287665
794	3.191440713
795	3.189312852
796	3.187207467
797	3.185453981
798	3.18369615
799	3.181474432
800	3.179487771
801	3.176911167
802	3.174102101
803	3.17143593
804	3.17114384
805	3.170546865
806	3.16880678
807	3.166781379
808	3.165263507
809	3.164722103
810	3.163499248
811	3.16004548
812	3.157438032
813	3.157140059
814	3.155939417
815	3.155616698
816	3.154644177
817	3.152850574
818	3.15104653
819	3.150609854
820	3.149360852
821	3.14774428
822	3.146606727
823	3.144516418
824	3.142882988
825	3.141189643
826	3.139077301
827	3.136958594
828	3.134520241
829	3.133613685
830	3.131655782
831	3.131410728
832	3.130496304
833	3.128281065
834	3.127815305
835	3.126000824
836	3.125022355
837	3.123778
838	3.121371702
839	3.120974139
840	3.119960032
841	3.119599117
842	3.118234974
843	3.11639704
844	3.115643522
845	3.114147415
846	3.111099625
847	3.1103093
848	3.10861898
849	3.108108
850	3.107142721
851	3.104875745
852	3.103982285
853	3.103745607
854	3.102071219
855	3.099499268
856	3.097461293
857	3.096109586
858	3.095473261
859	3.094622721
860	3.093304264
861	3.092706054
862	3.090268779
863	3.088166693
864	3.085367902
865	3.0847485
866	3.083241087
867	3.082678522
868	3.081302863
869	3.080657719
870	3.080154615
871	3.077198372
872	3.074783427
873	3.072704119
874	3.072651268
875	3.071002478
876	3.070205486
877	3.070021259
878	3.069793354
879	3.068778395
880	3.066584481
881	3.065851365
882	3.063225252
883	3.061565219
884	3.060456786
885	3.057937855
886	3.056990329
887	3.056949675
888	3.056104239
889	3.055889719
890	3.055306632
891	3.053636359
892	3.052712073
893	3.052269773
894	3.050781639
895	3.04888386
896	3.046564826
897	3.045696759
898	3.044058218
899	3.042341755
900	3.040364544
901	3.039603823
902	3.037791574
903	3.037145864
904	3.035253743
905	3.033866223
906	3.033050124
907	3.031727301
908	3.029899161
909	3.02900856
910	3.026978575
911	3.024525248
912	3.023373309
913	3.022029068
914	3.019906157
915	3.018896818
916	3.016851662
917	3.014369443
918	3.011892914
919	3.009681836
920	3.008767659
921	3.007152947
922	3.007110821
923	3.004823454
924	3.004167152
925	3.003565808
926	3.001568825
927	3.001091963
928	3.000587989
929	2.99920956
930	2.995961148
931	2.994972187
932	2.994947736
933	2.994561414
934	2.992039668
935	2.991064296
936	2.989173236
937	2.986618682
938	2.985494284
939	2.984982359
940	2.983657815
941	2.983400737
942	2.983160942
943	2.981143923
944	2.980183768
945	2.979618939
946	2.979403661
947	2.97784465
948	2.977558582
949	2.977425127
950	2.976696564
951	2.975579226
952	2.973520315
953	2.973348368
954	2.971532381
955	2.969130681
956	2.965806198
957	2.963692358
958	2.961938382
959	2.961824721
960	2.960411092
961	2.958880786
962	2.957626629
963	2.957395502
964	2.956673603
965	2.954648346
966	2.954232342
967	2.952647057
968	2.950064247
969	2.946130476
970	2.94512209
971	2.941724324
972	2.938569561
973	2.936436313
974	2.935070119
975	2.933840277
976	2.931124539
977	2.929157378
978	2.92653409
979	2.92577995
980	2.924587769
981	2.921518805
982	2.919050447
983	2.917479387
984	2.916179467
985	2.913415237
986	2.912497942
987	2.911847333
988	2.909754526
989	2.907084561
990	2.90449859
991	2.902637671
992	2.90091593
993	2.899625297
994	2.897241731
995	2.894524613
996	2.893025567
997	2.892181126
998	2.891448052
999	2.891395374
